click_id,user_id,product_id,product_name,sponsor_id,sponsor_name,category_name,is_clicked,is_purchased,click_duration_seconds,sponsored_position,session_id,bid_amount,relevance_score,clicked_at,category_name_encoded,sponsor_name_encoded,product_name_encoded
50,66,5,Gants Gardien Pro,2,Adidas Soccer,Football,1,0,177,2,sess_90079,9.44,1.41,2025-01-22 06:11:00,4,2,28
51,104,5,Gants Gardien Pro,2,Adidas Soccer,Football,1,0,52,4,sess_42512,9.44,51.53,2024-03-12 15:20:00,4,2,28
52,2,5,Gants Gardien Pro,2,Adidas Soccer,Football,1,1,89,3,sess_85088,9.44,38.36,2024-06-03 18:46:00,4,2,28
53,3,5,Gants Gardien Pro,2,Adidas Soccer,Football,0,0,0,3,sess_71000,9.44,65.37,2024-02-01 21:07:00,4,2,28
54,41,3,Maillot Training,3,Puma Sport,Football,0,0,0,4,sess_50760,1.92,68.61,2025-03-30 22:49:00,4,31,43
55,31,3,Maillot Training,3,Puma Sport,Football,1,0,127,3,sess_89395,1.92,36.75,2024-03-19 14:47:00,4,31,43
56,96,3,Maillot Training,3,Puma Sport,Football,0,0,0,4,sess_97044,1.92,70.19,2025-01-22 17:51:00,4,31,43
57,56,3,Maillot Training,3,Puma Sport,Football,0,0,0,2,sess_68556,1.92,68.03,2025-02-07 02:33:00,4,31,43
58,136,3,Maillot Training,3,Puma Sport,Football,0,0,0,3,sess_76255,1.92,7.81,2024-02-01 17:57:00,4,31,43
59,52,3,Maillot Training,3,Puma Sport,Football,1,0,118,5,sess_86434,1.92,53.67,2024-02-29 21:13:00,4,31,43
60,126,3,Maillot Training,3,Puma Sport,Football,1,1,38,1,sess_83912,1.92,89.89,2024-09-19 13:29:00,4,31,43
61,15,3,Maillot Training,3,Puma Sport,Football,0,0,0,5,sess_43352,1.92,46.24,2025-01-05 00:25:00,4,31,43
62,1,3,Maillot Training,3,Puma Sport,Football,1,0,21,2,sess_19046,1.92,57.83,2024-10-04 01:59:00,4,31,43
63,121,3,Maillot Training,3,Puma Sport,Football,1,1,169,1,sess_65097,1.92,28.71,2025-05-15 23:41:00,4,31,43
64,96,3,Maillot Training,3,Puma Sport,Football,0,0,0,4,sess_99486,1.92,44.85,2024-07-12 12:05:00,4,31,43
65,139,3,Maillot Training,3,Puma Sport,Football,1,1,142,2,sess_39188,1.92,65.35,2024-07-20 16:08:00,4,31,43
66,1,3,Maillot Training,3,Puma Sport,Football,1,0,113,1,sess_40102,1.92,97.85,2024-09-29 12:52:00,4,31,43
67,64,3,Maillot Training,3,Puma Sport,Football,1,0,33,4,sess_90599,1.92,34.62,2024-01-17 21:26:00,4,31,43
68,62,4,Protège-tibias Carbon,4,Under Armour,Football,0,0,0,2,sess_16380,4.78,6.73,2024-08-16 19:43:00,4,44,52
69,63,4,Protège-tibias Carbon,4,Under Armour,Football,1,1,19,1,sess_40692,4.78,40.23,2024-03-12 16:18:00,4,44,52
70,148,4,Protège-tibias Carbon,4,Under Armour,Football,0,0,0,3,sess_49552,4.78,57.75,2025-02-23 10:15:00,4,44,52
71,37,4,Protège-tibias Carbon,4,Under Armour,Football,1,1,156,5,sess_32955,4.78,22.1,2025-03-26 23:58:00,4,44,52
72,110,4,Protège-tibias Carbon,4,Under Armour,Football,0,0,0,5,sess_59958,4.78,49.56,2025-04-27 20:42:00,4,44,52
73,82,7,Chaussettes Performance,4,Under Armour,Football,1,1,142,4,sess_39536,6.4,40.83,2024-08-30 07:54:00,4,44,15
74,77,7,Chaussettes Performance,4,Under Armour,Football,0,0,0,2,sess_83044,6.4,80.58,2024-10-14 13:26:00,4,44,15
75,136,7,Chaussettes Performance,4,Under Armour,Football,1,0,25,2,sess_58637,6.4,38.84,2025-04-17 14:54:00,4,44,15
76,24,7,Chaussettes Performance,4,Under Armour,Football,1,1,177,5,sess_19539,6.4,72.46,2024-11-05 19:02:00,4,44,15
77,49,7,Chaussettes Performance,4,Under Armour,Football,0,0,0,5,sess_53642,6.4,72.43,2024-09-02 06:55:00,4,44,15
78,78,7,Chaussettes Performance,4,Under Armour,Football,1,0,127,1,sess_89220,6.4,21.18,2025-04-13 07:44:00,4,44,15
79,53,7,Chaussettes Performance,4,Under Armour,Football,1,0,102,4,sess_57088,6.4,91.51,2024-08-26 17:41:00,4,44,15
80,79,7,Chaussettes Performance,4,Under Armour,Football,0,0,0,3,sess_71537,6.4,35.96,2024-08-26 03:51:00,4,44,15
81,82,7,Chaussettes Performance,4,Under Armour,Football,1,0,61,2,sess_44180,6.4,37.07,2025-01-14 04:01:00,4,44,15
82,142,7,Chaussettes Performance,4,Under Armour,Football,1,1,89,5,sess_42208,6.4,57.91,2024-04-27 12:36:00,4,44,15
83,128,7,Chaussettes Performance,4,Under Armour,Football,0,0,0,5,sess_94108,6.4,65.46,2024-05-11 15:46:00,4,44,15
84,126,7,Chaussettes Performance,4,Under Armour,Football,0,0,0,4,sess_81636,6.4,16.82,2024-03-27 04:46:00,4,44,15
85,126,7,Chaussettes Performance,4,Under Armour,Football,1,0,20,2,sess_19742,6.4,91.69,2024-09-25 01:53:00,4,44,15
86,13,7,Chaussettes Performance,4,Under Armour,Football,0,0,0,1,sess_29795,6.4,41.24,2024-04-28 02:45:00,4,44,15
87,3,7,Chaussettes Performance,4,Under Armour,Football,1,0,175,2,sess_73334,6.4,50.57,2025-04-23 19:58:00,4,44,15
88,125,7,Chaussettes Performance,4,Under Armour,Football,0,0,0,1,sess_46010,6.4,0.66,2024-01-07 00:33:00,4,44,15
89,138,7,Chaussettes Performance,4,Under Armour,Football,0,0,0,3,sess_33496,6.4,1.71,2024-12-11 13:51:00,4,44,15
90,28,7,Chaussettes Performance,4,Under Armour,Football,1,0,69,1,sess_62022,6.4,52.44,2025-02-21 11:17:00,4,44,15
91,21,7,Chaussettes Performance,4,Under Armour,Football,1,1,62,3,sess_20566,6.4,95.93,2024-06-02 21:52:00,4,44,15
92,9,7,Chaussettes Performance,4,Under Armour,Football,1,0,168,1,sess_20837,6.4,40.53,2024-01-05 22:10:00,4,44,15
93,128,7,Chaussettes Performance,4,Under Armour,Football,1,0,29,4,sess_15577,6.4,64.49,2025-04-03 16:58:00,4,44,15
94,55,5,Gants Gardien Pro,4,Under Armour,Football,1,1,76,5,sess_96259,6.77,47.55,2025-04-05 17:36:00,4,44,28
95,9,5,Gants Gardien Pro,4,Under Armour,Football,1,0,155,2,sess_62205,6.77,92.88,2024-03-14 22:52:00,4,44,28
96,20,5,Gants Gardien Pro,4,Under Armour,Football,1,0,104,3,sess_60311,6.77,16.25,2024-12-12 17:21:00,4,44,28
97,36,5,Gants Gardien Pro,4,Under Armour,Football,0,0,0,1,sess_40427,6.77,50.08,2024-01-28 03:27:00,4,44,28
98,20,5,Gants Gardien Pro,4,Under Armour,Football,0,0,0,3,sess_52778,6.77,60.52,2024-10-31 12:49:00,4,44,28
99,8,5,Gants Gardien Pro,4,Under Armour,Football,1,1,146,3,sess_34345,6.77,78.35,2025-04-26 12:27:00,4,44,28
100,150,5,Gants Gardien Pro,4,Under Armour,Football,0,0,0,4,sess_19634,6.77,8.57,2025-02-12 07:45:00,4,44,28
101,22,5,Gants Gardien Pro,4,Under Armour,Football,0,0,0,3,sess_61068,6.77,15.42,2024-11-20 04:47:00,4,44,28
102,82,5,Gants Gardien Pro,4,Under Armour,Football,1,0,97,3,sess_27367,6.77,10.66,2025-01-24 08:06:00,4,44,28
103,23,5,Gants Gardien Pro,4,Under Armour,Football,0,0,0,2,sess_13442,6.77,43.1,2024-09-19 13:06:00,4,44,28
104,23,5,Gants Gardien Pro,4,Under Armour,Football,0,0,0,3,sess_60493,6.77,55.42,2025-02-05 10:55:00,4,44,28
105,4,5,Gants Gardien Pro,4,Under Armour,Football,0,0,0,3,sess_41816,6.77,41.38,2025-01-06 17:57:00,4,44,28
106,134,8,Sac Sport XL,4,Under Armour,Football,1,1,73,2,sess_31916,4.38,68.53,2024-09-09 04:04:00,4,44,59
107,112,8,Sac Sport XL,4,Under Armour,Football,0,0,0,3,sess_42321,4.38,42.11,2024-02-09 11:16:00,4,44,59
108,127,8,Sac Sport XL,4,Under Armour,Football,1,1,6,5,sess_91289,4.38,61.67,2025-04-30 12:21:00,4,44,59
109,98,8,Sac Sport XL,4,Under Armour,Football,1,0,171,3,sess_49378,4.38,44.02,2025-05-13 19:08:00,4,44,59
110,83,8,Sac Sport XL,4,Under Armour,Football,1,1,106,5,sess_92955,4.38,94.73,2025-05-10 10:18:00,4,44,59
111,126,8,Sac Sport XL,4,Under Armour,Football,1,1,105,5,sess_83905,4.38,78.2,2024-07-05 03:59:00,4,44,59
112,52,8,Sac Sport XL,4,Under Armour,Football,1,0,11,5,sess_37479,4.38,99.73,2025-05-02 23:29:00,4,44,59
113,113,8,Sac Sport XL,4,Under Armour,Football,1,0,109,3,sess_93012,4.38,83.13,2024-12-10 15:08:00,4,44,59
114,78,8,Sac Sport XL,4,Under Armour,Football,1,0,101,2,sess_72814,4.38,25.27,2024-02-07 14:38:00,4,44,59
115,150,8,Sac Sport XL,4,Under Armour,Football,0,0,0,4,sess_81256,4.38,53.44,2025-03-21 22:26:00,4,44,59
116,10,8,Sac Sport XL,4,Under Armour,Football,0,0,0,3,sess_21138,4.38,70.16,2024-10-31 20:58:00,4,44,59
117,28,8,Sac Sport XL,4,Under Armour,Football,1,0,16,2,sess_94769,4.38,65.76,2024-10-15 20:43:00,4,44,59
118,103,8,Sac Sport XL,4,Under Armour,Football,1,1,71,3,sess_77999,4.38,96.57,2024-04-23 16:47:00,4,44,59
119,143,8,Sac Sport XL,4,Under Armour,Football,1,0,123,5,sess_75597,4.38,68.77,2025-01-30 21:37:00,4,44,59
120,39,8,Sac Sport XL,4,Under Armour,Football,1,1,26,3,sess_55656,4.38,99.77,2024-02-29 23:09:00,4,44,59
121,80,8,Sac Sport XL,4,Under Armour,Football,1,0,126,3,sess_69303,4.38,45.53,2024-02-19 14:46:00,4,44,59
122,82,8,Sac Sport XL,4,Under Armour,Football,0,0,0,1,sess_54967,4.38,30.03,2024-02-28 00:54:00,4,44,59
123,28,8,Sac Sport XL,4,Under Armour,Football,0,0,0,2,sess_30989,4.38,92.99,2024-09-21 05:35:00,4,44,59
124,85,8,Sac Sport XL,4,Under Armour,Football,0,0,0,5,sess_34176,4.38,42.64,2025-02-12 12:40:00,4,44,59
125,48,8,Sac Sport XL,4,Under Armour,Football,0,0,0,4,sess_87621,4.38,39.56,2025-03-28 06:28:00,4,44,59
126,110,8,Sac Sport XL,4,Under Armour,Football,1,0,21,4,sess_80371,4.38,0.45,2024-10-22 03:51:00,4,44,59
127,48,8,Sac Sport XL,4,Under Armour,Football,0,0,0,3,sess_74157,4.38,32.6,2024-05-14 21:55:00,4,44,59
128,136,8,Sac Sport XL,4,Under Armour,Football,0,0,0,3,sess_56135,4.38,59.7,2024-10-27 03:22:00,4,44,59
129,45,8,Sac Sport XL,5,New Balance FC,Football,1,0,85,3,sess_25328,2.72,91.87,2024-03-01 07:19:00,4,26,59
130,47,8,Sac Sport XL,5,New Balance FC,Football,1,0,40,3,sess_34347,2.72,69.34,2024-10-21 12:27:00,4,26,59
131,125,8,Sac Sport XL,5,New Balance FC,Football,0,0,0,5,sess_74178,2.72,69.34,2024-03-29 17:10:00,4,26,59
132,74,8,Sac Sport XL,5,New Balance FC,Football,0,0,0,2,sess_57059,2.72,18.71,2024-11-13 01:55:00,4,26,59
133,3,8,Sac Sport XL,5,New Balance FC,Football,0,0,0,4,sess_95599,2.72,13.65,2025-05-08 17:32:00,4,26,59
134,127,8,Sac Sport XL,5,New Balance FC,Football,1,0,130,4,sess_14044,2.72,68.47,2024-03-26 02:36:00,4,26,59
135,57,8,Sac Sport XL,5,New Balance FC,Football,1,0,122,3,sess_74921,2.72,3.27,2024-10-16 23:49:00,4,26,59
136,141,8,Sac Sport XL,5,New Balance FC,Football,1,0,98,5,sess_67850,2.72,11.32,2024-10-04 01:48:00,4,26,59
137,140,8,Sac Sport XL,5,New Balance FC,Football,1,0,68,2,sess_44447,2.72,98.98,2024-06-01 01:28:00,4,26,59
138,90,8,Sac Sport XL,5,New Balance FC,Football,0,0,0,1,sess_87060,2.72,43.91,2025-02-01 07:13:00,4,26,59
139,90,8,Sac Sport XL,5,New Balance FC,Football,1,1,57,5,sess_17780,2.72,63.28,2025-02-20 06:51:00,4,26,59
140,146,8,Sac Sport XL,5,New Balance FC,Football,0,0,0,3,sess_48356,2.72,53.23,2024-03-27 10:45:00,4,26,59
141,75,8,Sac Sport XL,5,New Balance FC,Football,0,0,0,5,sess_22481,2.72,26.73,2025-04-05 21:52:00,4,26,59
142,35,8,Sac Sport XL,5,New Balance FC,Football,0,0,0,4,sess_27392,2.72,91.88,2025-03-19 20:08:00,4,26,59
143,64,8,Sac Sport XL,5,New Balance FC,Football,0,0,0,2,sess_74154,2.72,71.14,2025-01-24 21:25:00,4,26,59
144,37,8,Sac Sport XL,5,New Balance FC,Football,0,0,0,5,sess_93050,2.72,63.24,2024-07-11 14:04:00,4,26,59
145,24,8,Sac Sport XL,5,New Balance FC,Football,1,0,99,4,sess_86278,2.72,51.56,2024-08-20 15:20:00,4,26,59
146,1,8,Sac Sport XL,5,New Balance FC,Football,1,0,96,1,sess_80048,2.72,73.09,2025-03-11 02:50:00,4,26,59
147,102,8,Sac Sport XL,5,New Balance FC,Football,0,0,0,2,sess_47171,2.72,96.81,2024-09-10 08:20:00,4,26,59
148,141,1,Ballon Match Pro,5,New Balance FC,Football,0,0,0,5,sess_99463,2.64,13.06,2025-02-07 10:57:00,4,26,2
149,13,1,Ballon Match Pro,5,New Balance FC,Football,0,0,0,1,sess_30707,2.64,9.96,2024-08-23 00:07:00,4,26,2
150,113,1,Ballon Match Pro,5,New Balance FC,Football,0,0,0,4,sess_27290,2.64,0.07,2024-04-13 22:58:00,4,26,2
151,78,1,Ballon Match Pro,5,New Balance FC,Football,0,0,0,2,sess_42819,2.64,87.44,2024-02-17 20:23:00,4,26,2
152,22,1,Ballon Match Pro,5,New Balance FC,Football,0,0,0,3,sess_50043,2.64,66.45,2024-01-27 12:40:00,4,26,2
153,60,1,Ballon Match Pro,5,New Balance FC,Football,0,0,0,4,sess_20215,2.64,65.55,2024-01-01 06:30:00,4,26,2
154,34,1,Ballon Match Pro,5,New Balance FC,Football,0,0,0,5,sess_55032,2.64,22.62,2024-01-05 00:44:00,4,26,2
155,31,1,Ballon Match Pro,5,New Balance FC,Football,1,1,27,4,sess_51071,2.64,69.4,2025-01-09 03:06:00,4,26,2
156,95,1,Ballon Match Pro,5,New Balance FC,Football,0,0,0,3,sess_98753,2.64,13.71,2025-01-20 04:41:00,4,26,2
157,37,1,Ballon Match Pro,5,New Balance FC,Football,1,0,117,1,sess_92323,2.64,53.05,2024-06-28 23:13:00,4,26,2
158,39,1,Ballon Match Pro,5,New Balance FC,Football,1,1,30,4,sess_60335,2.64,61.61,2024-03-12 03:37:00,4,26,2
159,90,1,Ballon Match Pro,5,New Balance FC,Football,1,0,26,4,sess_88644,2.64,31.45,2024-05-07 17:38:00,4,26,2
160,73,1,Ballon Match Pro,5,New Balance FC,Football,1,1,137,1,sess_61347,2.64,84.79,2024-11-06 16:12:00,4,26,2
161,76,1,Ballon Match Pro,5,New Balance FC,Football,0,0,0,1,sess_24777,2.64,78.38,2024-05-02 15:24:00,4,26,2
162,62,1,Ballon Match Pro,5,New Balance FC,Football,1,0,8,4,sess_60703,2.64,63.81,2024-07-03 10:08:00,4,26,2
163,108,6,Short Match,5,New Balance FC,Football,1,0,23,3,sess_11807,8.03,54.64,2024-01-09 18:04:00,4,26,65
164,68,6,Short Match,5,New Balance FC,Football,1,0,134,2,sess_75673,8.03,3.98,2024-05-26 20:45:00,4,26,65
165,107,6,Short Match,5,New Balance FC,Football,1,0,162,4,sess_50620,8.03,70.18,2024-03-19 08:05:00,4,26,65
166,21,6,Short Match,5,New Balance FC,Football,0,0,0,5,sess_61213,8.03,92.09,2024-03-20 17:20:00,4,26,65
167,17,6,Short Match,5,New Balance FC,Football,0,0,0,3,sess_42044,8.03,69.87,2025-03-09 07:03:00,4,26,65
168,23,6,Short Match,5,New Balance FC,Football,0,0,0,4,sess_96252,8.03,11.6,2024-01-29 09:42:00,4,26,65
169,45,6,Short Match,5,New Balance FC,Football,1,1,132,1,sess_77793,8.03,1.27,2025-05-02 11:33:00,4,26,65
170,67,6,Short Match,5,New Balance FC,Football,0,0,0,2,sess_25473,8.03,37.19,2025-03-23 08:46:00,4,26,65
171,8,6,Short Match,5,New Balance FC,Football,1,1,152,3,sess_69663,8.03,80.71,2024-11-17 02:31:00,4,26,65
172,131,6,Short Match,5,New Balance FC,Football,0,0,0,3,sess_43438,8.03,5.54,2024-03-26 11:10:00,4,26,65
173,27,6,Short Match,5,New Balance FC,Football,1,0,5,5,sess_16026,8.03,67.41,2024-01-23 00:15:00,4,26,65
174,121,6,Short Match,5,New Balance FC,Football,1,0,14,3,sess_95944,8.03,38.3,2024-10-10 22:47:00,4,26,65
175,108,6,Short Match,5,New Balance FC,Football,1,0,74,2,sess_58864,8.03,32.18,2025-02-26 02:36:00,4,26,65
176,31,6,Short Match,5,New Balance FC,Football,1,1,137,5,sess_70960,8.03,67.33,2024-01-24 12:04:00,4,26,65
177,73,6,Short Match,5,New Balance FC,Football,0,0,0,3,sess_48219,8.03,32.73,2024-01-05 11:12:00,4,26,65
178,145,6,Short Match,5,New Balance FC,Football,1,1,131,3,sess_81638,8.03,73.96,2025-01-30 06:46:00,4,26,65
179,63,6,Short Match,5,New Balance FC,Football,0,0,0,2,sess_93354,8.03,0.64,2024-04-29 17:22:00,4,26,65
180,3,6,Short Match,5,New Balance FC,Football,0,0,0,3,sess_50306,8.03,0.15,2025-03-10 23:46:00,4,26,65
181,27,6,Short Match,5,New Balance FC,Football,1,0,20,2,sess_46677,8.03,52.98,2025-05-12 04:45:00,4,26,65
182,24,6,Short Match,5,New Balance FC,Football,0,0,0,1,sess_58823,8.03,92.13,2024-09-23 13:44:00,4,26,65
183,118,6,Short Match,5,New Balance FC,Football,1,0,105,1,sess_18163,8.03,58.08,2024-02-08 18:36:00,4,26,65
184,112,6,Short Match,5,New Balance FC,Football,1,0,105,2,sess_51688,8.03,23.68,2024-12-24 23:20:00,4,26,65
185,116,6,Short Match,5,New Balance FC,Football,0,0,0,3,sess_30369,8.03,23.36,2024-03-10 18:06:00,4,26,65
186,43,13,Bandeau Élastique,6,Nike Basketball,Basketball,1,0,58,4,sess_44735,5.25,46.61,2024-08-19 09:29:00,0,28,7
187,31,13,Bandeau Élastique,6,Nike Basketball,Basketball,0,0,0,1,sess_89076,5.25,15.76,2025-02-27 22:44:00,0,28,7
188,11,13,Bandeau Élastique,6,Nike Basketball,Basketball,1,1,68,2,sess_77300,5.25,83.59,2025-05-10 11:25:00,0,28,7
189,13,13,Bandeau Élastique,6,Nike Basketball,Basketball,0,0,0,3,sess_69270,5.25,26.02,2024-01-16 12:54:00,0,28,7
190,143,13,Bandeau Élastique,6,Nike Basketball,Basketball,0,0,0,5,sess_11567,5.25,24.99,2025-02-15 04:07:00,0,28,7
191,16,13,Bandeau Élastique,6,Nike Basketball,Basketball,0,0,0,2,sess_94500,5.25,13.07,2024-07-09 21:40:00,0,28,7
192,22,13,Bandeau Élastique,6,Nike Basketball,Basketball,0,0,0,5,sess_35919,5.25,58.61,2024-02-08 00:04:00,0,28,7
193,114,13,Bandeau Élastique,6,Nike Basketball,Basketball,0,0,0,2,sess_15596,5.25,9.2,2025-02-18 10:07:00,0,28,7
194,13,14,Panier Portable,6,Nike Basketball,Basketball,1,0,132,2,sess_65923,3.56,92.41,2024-01-16 12:43:00,0,28,47
195,45,14,Panier Portable,6,Nike Basketball,Basketball,1,0,43,3,sess_90868,3.56,21.47,2024-01-18 19:39:00,0,28,47
196,63,14,Panier Portable,6,Nike Basketball,Basketball,0,0,0,3,sess_46670,3.56,49.89,2024-09-02 01:05:00,0,28,47
197,99,14,Panier Portable,6,Nike Basketball,Basketball,0,0,0,2,sess_92674,3.56,41.92,2025-02-12 16:15:00,0,28,47
198,140,14,Panier Portable,6,Nike Basketball,Basketball,0,0,0,1,sess_73527,3.56,98.94,2024-07-02 15:34:00,0,28,47
199,89,14,Panier Portable,6,Nike Basketball,Basketball,0,0,0,5,sess_88265,3.56,50.24,2024-04-02 00:20:00,0,28,47
200,57,14,Panier Portable,6,Nike Basketball,Basketball,0,0,0,1,sess_56849,3.56,89.58,2024-01-30 15:33:00,0,28,47
201,150,14,Panier Portable,6,Nike Basketball,Basketball,1,0,73,2,sess_38758,3.56,97.4,2024-09-30 23:03:00,0,28,47
202,148,14,Panier Portable,6,Nike Basketball,Basketball,0,0,0,4,sess_41005,3.56,35.48,2025-03-08 05:11:00,0,28,47
203,82,14,Panier Portable,6,Nike Basketball,Basketball,1,0,150,3,sess_34672,3.56,91.4,2024-10-15 04:36:00,0,28,47
