sponsor_id,name,email,company_name,daily_budget,remaining_budget,cpc_bid,target_category_id,target_category_name,is_active,created_at,total_clicks,total_spent
40,Rogue Fitness,contact@roguefitnesscorp.com,RogueFitnessCorp,94.3,63.22,4.38,8,Fitness,True,2024-12-21 00:00:00,2453,12166.63
41,Mikasa,contact@mikasacorp.com,MikasaCorp,70.7,57.73,1.54,9,Volleyball,True,2024-03-15 00:00:00,2000,2685.19
42,Molten Sport,contact@moltensportcorp.com,MoltenSportCorp,304.67,247.78,0.93,9,Volleyball,True,2025-03-21 00:00:00,3133,2720.8
43,Mizuno Volley,contact@mizunovolleycorp.com,MizunoVolleyCorp,158.37,145.95,0.8,9,Volleyball,True,2024-05-10 00:00:00,3764,2043.79
44,Asics Volley,contact@asicsvolleycorp.com,AsicsVolleyCorp,54.23,44.69,4.52,9,Volleyball,True,2024-03-21 00:00:00,605,2212.87
45,Errea Sport,contact@erreasportcorp.com,ErreaSportCorp,205.5,129.22,3.23,9,Volleyball,True,2024-05-08 00:00:00,3742,13195.16
46,Hummel,contact@hummelcorp.com,HummelCorp,139.65,62.32,2.47,10,Handball,True,2024-10-19 00:00:00,2940,6552.82
47,Kempa,contact@kempacorp.com,KempaCorp,496.71,181.65,4.89,10,Handball,True,2024-05-20 00:00:00,66,289.22
48,Select Sport,contact@selectsportcorp.com,SelectSportCorp,358.61,276.2,0.34,10,Handball,True,2024-09-11 00:00:00,2344,831.24
49,Salming,contact@salmingcorp.com,SalmingCorp,153.55,126.18,1.17,10,Handball,True,2024-05-08 00:00:00,1120,1231.48
50,Adidas Handball,contact@adidashandballcorp.com,AdidasHandballCorp,456.53,311.22,1.61,10,Handball,True,2024-10-23 00:00:00,2988,4871.54
