interaction_id,user_id,product_id,product_name,category_id,category_name,product_type,searched_size,size_available,is_preferred_category,search_frequency_in_category,is_in_favorites,added_to_favorites,prix,stock,product_status,is_clicked,click_duration_seconds,is_purchased,recommendation_score,interaction_time,category_name_encoded,product_name_encoded,product_type_encoded,searched_size_encoded,product_status_encoded
11,1,11,Maillot Reversible,2,Basketball,vetement,XL,1,1,0.05993727817053419,0,0,-0.1169104288731584,-0.8502751892907451,EN_STOCK,1,1.1397080466583855,1,83.09,2025-01-03 07:28:00,0,50,3,17,1
12,1,40,Sac Etanche 30L,5,Natation,accessoire,Unique,1,1,-0.656485790223861,1,1,-0.47811261845731334,0.11454911407204778,EN_STOCK,1,1.2739366040377915,0,71.34,2024-12-13 18:28:00,6,65,0,16,1
13,1,7,Chaussettes Performance,1,Football,vetement,S,1,1,-0.4176781007590626,1,1,-0.824934392999476,-0.12665696176865043,EN_STOCK,1,0.11621529664041533,0,73.19,2024-05-08 01:41:00,4,17,3,13,1
14,1,2,Crampons Elite,1,Football,chaussure,39,1,1,-0.1788704112942642,1,1,0.9059600339960692,0.46831802530507183,EN_ARRIVAGE,0,-0.8233846050154263,0,64.85,2025-04-08 16:09:00,4,29,1,1,0
15,1,12,Short Respirant,2,Basketball,vetement,S,1,1,0.29874496763533254,0,0,-0.33143238502899375,-0.5125866831137675,EN_STOCK,0,-0.8233846050154263,0,86.17,2024-07-31 01:25:00,0,75,3,13,1
16,1,15,Genouilleres Pro,2,Basketball,accessoire,Unique,1,1,0.5375526571001309,0,0,-0.5941710269138614,1.3044990882194922,EN_STOCK,1,-0.320027514842654,0,83.75,2025-02-09 04:08:00,0,38,0,16,1
17,1,3,Maillot Training,1,Football,vetement,L,1,1,0.05993727817053419,1,1,-0.007619274554018314,-0.6412299235621399,RUPTURE_DE_STOCK,1,-0.40392036320478275,1,74.49,2024-03-17 17:46:00,4,51,3,9,2
18,1,2,Crampons Elite,1,Football,chaussure,41,1,1,0.29874496763533254,1,0,0.9059600339960692,0.46831802530507183,EN_ARRIVAGE,1,1.055815198296257,0,86.01,2024-11-14 14:04:00,4,29,1,3,0
19,1,1,Ballon Match Pro,1,Football,equipement,Pro,1,1,0.5375526571001309,1,1,-0.4166997871603352,-0.5447474932258607,EN_STOCK,1,-0.13546324844597082,0,85.15,2024-06-29 07:36:00,4,2,2,12,1
20,2,14,Panier Portable,2,Basketball,equipement,Junior,1,1,-0.8952934796886594,0,0,1.7970382225392747,0.4522376202490253,EN_STOCK,0,-0.8233846050154263,0,67.53,2024-09-16 17:01:00,0,54,2,8,1
21,2,9,Ballon Indoor/Outdoor,2,Basketball,equipement,Pro,1,1,-0.656485790223861,1,1,-0.4040111856526951,0.8703281517062356,EN_ARRIVAGE,1,-0.6723774779635946,0,64.87,2024-05-03 23:42:00,0,1,2,12,0
22,2,11,Maillot Reversible,2,Basketball,vetement,XXL,1,1,-0.4176781007590626,1,1,-0.1169104288731584,-0.8502751892907451,EN_STOCK,0,-0.8233846050154263,0,74.46,2025-02-02 21:29:00,0,50,3,19,1
23,2,62,Banc Musculation,8,Fitness,equipement,Pro,1,0,-0.8952934796886594,0,0,3.2980151902163812,-1.5256522016447,EN_STOCK,1,1.2236008950205144,1,29.82,2024-04-13 01:50:00,3,5,2,12,1
24,2,14,Panier Portable,2,Basketball,equipement,Standard,1,1,-0.1788704112942642,0,0,1.7970382225392747,0.4522376202490253,EN_STOCK,0,-0.8233846050154263,0,72.15,2024-05-09 01:48:00,0,54,2,15,1
25,2,14,Panier Portable,2,Basketball,equipement,Junior,1,1,0.05993727817053419,0,0,1.7970382225392747,0.4522376202490253,EN_STOCK,1,-0.21935609680809956,0,78.66,2024-07-23 23:28:00,0,54,2,8,1
26,2,50,Sac de Frappe 120cm,7,Boxe,equipement,Standard,1,0,-0.8952934796886594,0,0,2.02813995133176,1.4009815185557717,RUPTURE_DE_STOCK,0,-0.8233846050154263,0,32.74,2024-09-11 11:59:00,1,70,2,15,2
27,2,35,Bonnet Silicone,5,Natation,accessoire,Unique,1,0,-0.8952934796886594,0,0,-0.9327029151376993,-1.4291697713084208,EN_STOCK,1,1.844407972900267,0,40.27,2024-04-02 17:18:00,6,10,0,16,1
28,2,14,Panier Portable,2,Basketball,equipement,Pro,1,1,0.29874496763533254,0,0,1.7970382225392747,0.4522376202490253,EN_STOCK,1,1.0893723376411084,1,75.96,2024-08-16 01:46:00,0,54,2,12,1
29,2,46,Bidon Isotherme,6,Cyclisme,accessoire,L/XL,1,0,-0.8952934796886594,0,0,-0.7611530227544051,1.208016657883213,EN_STOCK,1,-0.5045917812393372,1,42.98,2024-11-22 12:23:00,2,9,0,10,1
30,2,9,Ballon Indoor/Outdoor,2,Basketball,equipement,Junior,1,1,0.5375526571001309,1,0,-0.4040111856526951,0.8703281517062356,EN_ARRIVAGE,1,1.1397080466583855,1,98.49,2024-02-04 07:49:00,0,1,2,8,0
31,2,15,Genouilleres Pro,2,Basketball,accessoire,L/XL,1,1,0.7763603465649294,0,0,-0.5941710269138614,1.3044990882194922,EN_STOCK,1,1.190043755675663,0,80.32,2025-01-25 02:36:00,0,38,0,10,1
32,2,15,Genouilleres Pro,2,Basketball,accessoire,S/M,1,1,1.0151680360297277,1,1,-0.5941710269138614,1.3044990882194922,EN_STOCK,1,-0.252913236152951,1,86.5,2024-09-22 12:58:00,0,38,0,14,1
33,2,13,Bandeau Elastique,2,Basketball,accessoire,L/XL,1,1,1.253975725494526,1,1,-0.9350714540857922,-1.6060542269249327,EN_STOCK,0,-0.8233846050154263,0,84.46,2025-04-14 15:12:00,0,7,0,10,1
34,2,16,Sac a Dos Basket,2,Basketball,accessoire,Unique,1,1,1.4927834149593244,0,0,-0.05668186705022669,1.2401774679953061,EN_STOCK,1,-0.37036322385993126,0,88.99,2024-06-12 21:22:00,0,69,0,16,1
35,2,71,Sac Ballons,9,Volleyball,accessoire,L/XL,1,0,-0.8952934796886594,0,0,-0.5285286617810033,0.6612828859776304,EN_STOCK,0,-0.8233846050154263,0,35.9,2024-03-21 22:45:00,9,64,0,10,1
36,2,23,Cordage Multifilament,3,Tennis,accessoire,S/M,1,0,-0.8952934796886594,0,0,-0.7949892934414454,-0.3839434426653952,EN_STOCK,1,0.11621529664041533,0,38.09,2024-05-01 15:01:00,8,26,0,14,1
37,2,16,Sac a Dos Basket,2,Basketball,accessoire,L/XL,1,1,1.7315911044241228,1,1,-0.05668186705022669,1.2401774679953061,EN_STOCK,0,-0.8233846050154263,0,81.3,2024-07-22 22:46:00,0,69,0,10,1
38,2,15,Genouilleres Pro,2,Basketball,accessoire,L/XL,1,1,1.9703987938889211,1,0,-0.5941710269138614,1.3044990882194922,EN_STOCK,0,-0.8233846050154263,0,95.74,2024-11-24 02:28:00,0,38,0,10,1
39,2,11,Maillot Reversible,2,Basketball,vetement,XL,1,1,2.2092064833537197,1,0,-0.1169104288731584,-0.8502751892907451,EN_STOCK,1,-0.18579895746324807,0,100.0,2025-04-11 01:53:00,0,50,3,17,1
40,2,13,Bandeau Elastique,2,Basketball,accessoire,Unique,1,1,2.448014172818518,1,0,-0.9350714540857922,-1.6060542269249327,EN_STOCK,0,-0.8233846050154263,0,96.62,2024-04-25 11:33:00,0,7,0,16,1
41,2,11,Maillot Reversible,2,Basketball,vetement,XXL,1,1,2.6868218622833164,1,0,-0.1169104288731584,-0.8502751892907451,EN_STOCK,1,-0.2025775271356738,0,100.0,2024-11-10 17:05:00,0,50,3,19,1
42,2,11,Maillot Reversible,2,Basketball,vetement,XXL,1,1,2.9256295517481146,1,0,-0.1169104288731584,-0.8502751892907451,EN_STOCK,0,-0.8233846050154263,0,100.0,2024-06-21 18:02:00,0,50,3,19,1
43,3,69,Maillot Equipe,9,Volleyball,vetement,XL,1,1,-0.8952934796886594,0,0,-0.20606900213350945,-1.0593204550193502,RUPTURE_DE_STOCK,0,-0.8233846050154263,0,62.17,2024-11-17 17:18:00,9,48,3,17,2
44,3,8,Sac Sport XL,1,Football,accessoire,Unique,1,1,-0.8952934796886594,1,1,-0.20522309536633349,1.0150517972106545,EN_STOCK,0,-0.8233846050154263,0,71.05,2024-02-07 22:03:00,4,68,0,16,1
45,3,8,Sac Sport XL,1,Football,accessoire,S/M,1,1,-0.656485790223861,1,0,-0.20522309536633349,1.0150517972106545,EN_STOCK,1,0.6027938171407619,0,83.04,2024-06-12 23:55:00,4,68,0,14,1
46,3,3,Maillot Training,1,Football,vetement,XL,1,1,-0.4176781007590626,0,0,-0.007619274554018314,-0.6412299235621399,RUPTURE_DE_STOCK,1,1.2571580343653659,1,69.62,2024-03-13 03:03:00,4,51,3,17,2
47,3,7,Chaussettes Performance,1,Football,vetement,XS,1,1,-0.1788704112942642,0,0,-0.824934392999476,-0.12665696176865043,EN_STOCK,1,0.6531295261580391,0,80.65,2024-04-07 05:31:00,4,17,3,18,1
48,3,60,Kettlebell 16kg,8,Fitness,equipement,Standard,1,0,-0.8952934796886594,0,0,-0.20437718859915754,0.018066683735768498,EN_STOCK,0,-0.8233846050154263,0,41.79,2024-02-16 12:32:00,3,42,2,15,1
49,3,52,Bandages 4.5m x2,7,Boxe,accessoire,L/XL,1,1,-0.8952934796886594,0,0,-0.8785648820384349,1.1276146326029803,EN_STOCK,1,1.374608022072346,0,66.53,2024-12-10 15:18:00,1,6,0,10,1
50,3,55,Chaussures Boxe,7,Boxe,chaussure,41,1,1,-0.656485790223861,0,0,0.9101895678319492,-0.8663555943467917,EN_STOCK,1,0.988700919606554,0,63.64,2024-10-18 17:12:00,1,19,1,3,1
51,3,2,Crampons Elite,1,Football,chaussure,41,1,1,0.05993727817053419,0,0,0.9059600339960692,0.46831802530507183,EN_ARRIVAGE,0,-0.8233846050154263,0,69.5,2024-11-15 21:39:00,4,29,1,3,0
52,3,55,Chaussures Boxe,7,Boxe,chaussure,41,1,1,-0.4176781007590626,1,1,0.9101895678319492,-0.8663555943467917,EN_STOCK,1,0.8209152228822966,0,73.87,2024-09-17 12:32:00,1,19,1,3,1
53,4,70,Short Leger,9,Volleyball,vetement,XL,1,1,-0.8952934796886594,0,0,-0.5599963935199507,-0.27138060727306934,EN_STOCK,0,-0.8233846050154263,0,67.57,2024-06-16 19:20:00,9,73,3,17,1
54,4,70,Short Leger,9,Volleyball,vetement,XL,1,1,-0.656485790223861,0,0,-0.5599963935199507,-0.27138060727306934,EN_STOCK,1,1.6766222761760095,0,71.1,2024-07-07 10:43:00,9,73,3,17,1
55,4,69,Maillot Equipe,9,Volleyball,vetement,XXL,1,1,-0.4176781007590626,0,0,-0.20606900213350945,-1.0593204550193502,RUPTURE_DE_STOCK,0,-0.8233846050154263,0,72.72,2024-05-15 20:50:00,9,48,3,19,2
56,4,75,Maillot Respirant,10,Handball,vetement,XL,1,0,-0.8952934796886594,0,0,-0.37525035556871084,-1.1558028853556295,EN_STOCK,0,-0.8233846050154263,0,40.21,2024-03-28 16:40:00,5,49,3,17,1
57,4,49,Gants 12oz Pro,7,Boxe,accessoire,Unique,1,0,-0.8952934796886594,0,0,0.42362399535231,1.3849011134997251,EN_STOCK,1,1.710179415520861,0,41.22,2024-02-26 06:01:00,1,32,0,16,1
58,4,67,Chaussures Indoor,9,Volleyball,chaussure,38,1,1,-0.1788704112942642,0,0,0.8450547467593965,-0.4643454679456279,EN_STOCK,1,1.8779651122451184,0,69.04,2025-01-11 23:03:00,9,22,1,0,1
59,4,67,Chaussures Indoor,9,Volleyball,chaussure,38,1,1,0.05993727817053419,0,0,0.8450547467593965,-0.4643454679456279,EN_STOCK,0,-0.8233846050154263,0,73.25,2024-06-09 05:29:00,9,22,1,0,1
60,4,44,Gants Cycliste,6,Cyclisme,accessoire,L/XL,1,0,-0.8952934796886594,0,0,-0.5271752109535217,0.6612828859776304,EN_ARRIVAGE,0,-0.8233846050154263,0,31.54,2025-01-04 21:41:00,2,33,0,10,0
61,4,34,Lunettes Miroir,5,Natation,accessoire,L/XL,1,0,-0.8952934796886594,0,0,-0.4532429595023386,0.001986278679721952,EN_STOCK,0,-0.8233846050154263,0,37.84,2024-05-22 17:19:00,6,45,0,10,1
62,4,69,Maillot Equipe,9,Volleyball,vetement,XXL,1,1,0.29874496763533254,0,0,-0.20606900213350945,-1.0593204550193502,RUPTURE_DE_STOCK,1,0.7538009441925936,0,80.05,2025-01-04 08:18:00,9,48,3,19,2
63,4,71,Sac Ballons,9,Volleyball,accessoire,S/M,1,1,0.5375526571001309,1,1,-0.5285286617810033,0.6612828859776304,EN_STOCK,0,-0.8233846050154263,0,89.55,2024-05-27 22:05:00,9,64,0,14,1
64,5,33,Maillot Competition,5,Natation,vetement,S,1,0,-0.8952934796886594,0,0,0.05176338050173733,0.886408556762282,EN_ARRIVAGE,0,-0.8233846050154263,0,30.02,2025-04-22 17:44:00,6,47,3,13,0
65,5,28,Brassiere Running,4,Running,vetement,S,1,1,-0.8952934796886594,1,1,-0.5962012031550838,-0.7859535690665589,EN_STOCK,1,1.9954150999520985,0,69.7,2024-06-18 22:30:00,7,11,3,13,1
66,5,25,Chaussures Amorti Max,4,Running,chaussure,40,1,1,-0.656485790223861,0,0,2.191569138750164,-0.8020339741226055,EN_STOCK,0,-0.8233846050154263,0,65.07,2024-09-01 20:12:00,7,18,1,2,1
67,5,37,Pull Buoy Pro,5,Natation,equipement,Standard,1,0,-0.656485790223861,0,0,-0.8229042167582536,0.6934436960897234,EN_STOCK,1,-0.37036322385993126,0,38.85,2024-04-28 17:47:00,6,61,2,15,1
68,5,5,Gants Gardien Pro,1,Football,accessoire,Unique,1,0,-0.8952934796886594,0,0,0.32532962900645795,-1.4452501763644674,EN_STOCK,0,-0.8233846050154263,0,37.18,2025-04-23 01:53:00,4,34,0,16,1
69,5,67,Chaussures Indoor,9,Volleyball,chaussure,42,1,1,-0.8952934796886594,0,0,0.8450547467593965,-0.4643454679456279,EN_STOCK,1,1.693400845848435,0,66.77,2024-06-20 09:29:00,9,22,1,4,1
70,5,70,Short Leger,9,Volleyball,vetement,S,1,1,-0.656485790223861,1,1,-0.5599963935199507,-0.27138060727306934,EN_STOCK,1,1.4249437310896231,0,74.89,2024-02-27 10:10:00,9,73,3,13,1
71,5,33,Maillot Competition,5,Natation,vetement,XS,1,0,-0.4176781007590626,0,0,0.05176338050173733,0.886408556762282,EN_ARRIVAGE,0,-0.8233846050154263,0,41.37,2024-10-17 21:48:00,6,47,3,18,0
72,5,55,Chaussures Boxe,7,Boxe,chaussure,43,1,1,-0.8952934796886594,0,0,0.9101895678319492,-0.8663555943467917,EN_STOCK,0,-0.8233846050154263,0,58.87,2024-04-04 04:30:00,1,19,1,5,1
73,5,25,Chaussures Amorti Max,4,Running,chaussure,45,1,1,-0.4176781007590626,0,0,2.191569138750164,-0.8020339741226055,EN_STOCK,0,-0.8233846050154263,0,66.36,2024-06-03 18:46:00,7,18,1,7,1
74,5,70,Short Leger,9,Volleyball,vetement,XS,1,1,-0.4176781007590626,1,0,-0.5599963935199507,-0.27138060727306934,EN_STOCK,1,-0.06834896975626786,0,90.68,2024-09-14 22:49:00,9,73,3,18,1
75,5,29,Ceinture Hydratation,4,Running,accessoire,S/M,1,1,-0.1788704112942642,0,0,-0.6009382810512695,-1.2362049106358621,EN_STOCK,1,-0.16902038779082232,0,78.15,2024-11-06 11:26:00,7,15,0,14,1
76,5,61,Corde Battle Rope 12m,8,Fitness,equipement,Pro,1,0,-0.8952934796886594,0,0,0.33767986780722775,0.9828909870985614,EN_STOCK,0,-0.8233846050154263,0,41.02,2025-01-25 07:43:00,3,27,2,12,1
77,5,11,Maillot Reversible,2,Basketball,vetement,S,1,0,-0.8952934796886594,0,0,-0.1169104288731584,-0.8502751892907451,EN_STOCK,0,-0.8233846050154263,0,38.28,2025-04-14 18:07:00,0,50,3,13,1
78,5,52,Bandages 4.5m x2,7,Boxe,accessoire,L/XL,1,1,-0.656485790223861,0,0,-0.8785648820384349,1.1276146326029803,EN_STOCK,1,1.4920580097793261,0,71.37,2025-01-02 18:31:00,1,6,0,10,1
79,5,56,Coquille Protection,7,Boxe,accessoire,Unique,1,1,-0.4176781007590626,0,0,-0.6283456603077721,-0.4804258730016745,EN_STOCK,1,1.2068223253480885,0,73.53,2024-12-10 09:46:00,1,25,0,16,1
80,5,65,Ballon Officiel V5,9,Volleyball,equipement,Pro,1,1,-0.1788704112942642,1,1,-0.17240191279990447,-0.8181143791786519,EN_STOCK,1,1.0725937679686828,0,74.18,2024-01-31 02:59:00,9,3,2,12,1
81,5,71,Sac Ballons,9,Volleyball,accessoire,Unique,1,1,0.05993727817053419,0,0,-0.5285286617810033,0.6612828859776304,EN_STOCK,0,-0.8233846050154263,0,82.69,2024-11-26 13:23:00,9,64,0,16,1
82,5,49,Gants 12oz Pro,7,Boxe,accessoire,S/M,1,1,-0.1788704112942642,0,0,0.42362399535231,1.3849011134997251,EN_STOCK,0,-0.8233846050154263,0,80.7,2024-12-15 21:55:00,1,32,0,14,1
83,5,54,Casque Sparring,7,Boxe,accessoire,Unique,1,1,0.05993727817053419,0,0,-0.08561187848764613,1.2884186831634457,EN_STOCK,1,1.5256151491241776,1,76.78,2025-03-03 00:48:00,1,13,0,16,1
84,5,72,Protege-doigts,9,Volleyball,accessoire,L/XL,1,1,0.29874496763533254,1,1,-0.7608146600475348,1.3044990882194922,EN_STOCK,1,0.8880295015719996,0,85.19,2024-06-26 04:17:00,9,59,0,10,1
85,6,15,Genouilleres Pro,2,Basketball,accessoire,Unique,1,0,-0.8952934796886594,0,0,-0.5941710269138614,1.3044990882194922,EN_STOCK,0,-0.8233846050154263,0,41.09,2025-01-27 00:15:00,0,38,0,16,1
86,6,33,Maillot Competition,5,Natation,vetement,XXL,1,1,-0.8952934796886594,1,1,0.05176338050173733,0.886408556762282,EN_ARRIVAGE,0,-0.8233846050154263,0,64.72,2024-01-23 12:28:00,6,47,3,19,0
87,6,33,Maillot Competition,5,Natation,vetement,XXL,1,1,-0.656485790223861,1,0,0.05176338050173733,0.886408556762282,EN_ARRIVAGE,1,1.7269579851932866,0,85.93,2024-11-02 21:52:00,6,47,3,19,0
88,6,3,Maillot Training,1,Football,vetement,XL,1,1,-0.8952934796886594,0,0,-0.007619274554018314,-0.6412299235621399,RUPTURE_DE_STOCK,1,-0.4878132115669115,0,60.21,2025-01-11 05:40:00,4,51,3,17,2
89,6,24,Casquette UV Protect,3,Tennis,accessoire,Unique,1,1,-0.8952934796886594,0,0,-0.6924653932597133,1.3849011134997251,EN_STOCK,0,-0.8233846050154263,0,72.72,2025-02-06 16:20:00,8,14,0,16,1
90,6,3,Maillot Training,1,Football,vetement,XXL,1,1,-0.656485790223861,1,1,-0.007619274554018314,-0.6412299235621399,RUPTURE_DE_STOCK,0,-0.8233846050154263,0,62.84,2024-04-25 09:54:00,4,51,3,19,2
91,6,60,Kettlebell 16kg,8,Fitness,equipement,Junior,1,0,-0.8952934796886594,0,0,-0.20437718859915754,0.018066683735768498,EN_STOCK,0,-0.8233846050154263,0,38.62,2024-10-12 16:08:00,3,42,2,8,1
92,6,4,Protege-tibias Carbon,1,Football,accessoire,S/M,1,1,-0.4176781007590626,0,0,-0.31417588697860316,-0.5447474932258607,EN_STOCK,0,-0.8233846050154263,0,75.47,2024-02-17 17:46:00,4,60,0,14,1
93,6,7,Chaussettes Performance,1,Football,vetement,XXL,1,1,-0.1788704112942642,0,0,-0.824934392999476,-0.12665696176865043,EN_STOCK,1,-0.43747750254963425,1,78.74,2025-01-05 21:35:00,4,17,3,19,1
94,6,38,Palmes Courtes,5,Natation,equipement,Standard,1,1,-0.4176781007590626,1,1,-0.32804875796028965,-1.348767746028188,EN_STOCK,1,0.06587958762313809,0,78.57,2025-01-21 15:58:00,6,53,2,15,1
95,6,20,Grip Overgrip x3,3,Tennis,accessoire,S/M,1,1,-0.656485790223861,0,0,-0.8838095039949262,0.9024889618183286,EN_STOCK,1,0.46856525976135593,0,75.15,2024-07-02 09:16:00,8,39,0,14,1
96,6,8,Sac Sport XL,1,Football,accessoire,Unique,1,1,0.05993727817053419,0,0,-0.20522309536633349,1.0150517972106545,EN_STOCK,0,-0.8233846050154263,0,83.03,2024-06-12 06:23:00,4,68,0,16,1
97,6,36,Plaquettes Nage,5,Natation,accessoire,L/XL,1,1,-0.1788704112942642,0,0,-0.7823006919338054,0.8060065314820494,EN_STOCK,1,1.760515124538138,0,73.46,2024-03-19 06:21:00,6,55,0,10,1
98,6,20,Grip Overgrip x3,3,Tennis,accessoire,S/M,1,1,-0.4176781007590626,0,0,-0.8838095039949262,0.9024889618183286,EN_STOCK,0,-0.8233846050154263,0,74.51,2025-01-25 15:46:00,8,39,0,14,1
99,6,8,Sac Sport XL,1,Football,accessoire,Unique,1,1,0.29874496763533254,0,0,-0.20522309536633349,1.0150517972106545,EN_STOCK,1,-0.15224181811839657,0,85.33,2025-04-14 17:41:00,4,68,0,16,1
100,6,68,Filet Competition,9,Volleyball,equipement,Junior,1,0,-0.8952934796886594,0,0,1.8560825148881597,-0.04625493648841769,EN_STOCK,1,2.1296436573315045,1,36.39,2024-01-04 13:08:00,9,31,2,8,1
101,7,33,Maillot Competition,5,Natation,vetement,S,1,1,-0.8952934796886594,0,0,0.05176338050173733,0.886408556762282,EN_ARRIVAGE,1,1.9954150999520985,0,62.56,2024-09-04 21:31:00,6,47,3,13,0
102,7,17,Raquette Pro 300g,3,Tennis,equipement,Junior,1,1,-0.8952934796886594,0,0,2.8371651834588927,0.7738457213699562,EN_STOCK,1,0.4853438294337817,1,63.29,2024-12-11 13:51:00,8,62,2,8,1
103,7,23,Cordage Multifilament,3,Tennis,accessoire,Unique,1,1,-0.656485790223861,0,0,-0.7949892934414454,-0.3839434426653952,EN_STOCK,1,0.28400099336467277,1,75.18,2025-02-21 11:17:00,8,26,0,16,1
104,7,11,Maillot Reversible,2,Basketball,vetement,S,1,0,-0.8952934796886594,0,0,-0.1169104288731584,-0.8502751892907451,EN_STOCK,0,-0.8233846050154263,0,37.06,2024-12-22 07:19:00,0,50,3,13,1
105,7,33,Maillot Competition,5,Natation,vetement,S,1,1,-0.656485790223861,1,1,0.05176338050173733,0.886408556762282,EN_ARRIVAGE,0,-0.8233846050154263,0,64.79,2024-01-05 22:10:00,6,47,3,13,0
106,7,22,Jupe/Short Sport,3,Tennis,vetement,S,1,1,-0.4176781007590626,1,1,-0.5017980079382415,-0.8824359994028381,EN_STOCK,1,1.5256151491241776,0,77.58,2025-04-06 22:56:00,8,41,3,13,1
107,7,17,Raquette Pro 300g,3,Tennis,equipement,Junior,1,1,-0.1788704112942642,1,1,2.8371651834588927,0.7738457213699562,EN_STOCK,1,1.5927294278138806,0,73.84,2025-04-20 10:01:00,8,62,2,8,1
108,7,76,Short Stretch,10,Handball,vetement,S,1,0,-0.8952934796886594,0,0,-0.6295299297818184,1.3688207084436785,EN_STOCK,0,-0.8233846050154263,0,41.21,2025-04-20 02:19:00,5,76,3,13,1
109,7,39,Serviette Microfibre XL,5,Natation,accessoire,L/XL,1,1,-0.4176781007590626,0,0,-0.5835126016474437,-0.8663555943467917,EN_STOCK,1,-0.15224181811839657,0,77.97,2024-02-10 16:47:00,6,71,0,10,1
110,7,7,Chaussettes Performance,1,Football,vetement,S,1,0,-0.8952934796886594,0,0,-0.824934392999476,-0.12665696176865043,EN_STOCK,1,1.844407972900267,0,35.32,2025-05-03 19:25:00,4,17,3,13,1
111,7,42,Cuissard Gel Pad,6,Cyclisme,vetement,S,1,0,-0.8952934796886594,0,0,0.6667376002386944,0.19495113935228053,EN_STOCK,0,-0.8233846050154263,0,30.73,2024-09-08 07:22:00,2,30,3,13,1
112,7,23,Cordage Multifilament,3,Tennis,accessoire,Unique,1,1,0.05993727817053419,1,1,-0.7949892934414454,-0.3839434426653952,EN_STOCK,0,-0.8233846050154263,0,81.8,2024-11-12 09:51:00,8,26,0,16,1
113,7,34,Lunettes Miroir,5,Natation,accessoire,S/M,1,1,-0.1788704112942642,0,0,-0.4532429595023386,0.001986278679721952,EN_STOCK,0,-0.8233846050154263,0,73.54,2025-01-13 12:20:00,6,45,0,14,1
114,7,33,Maillot Competition,5,Natation,vetement,L,1,1,0.05993727817053419,1,0,0.05176338050173733,0.886408556762282,EN_ARRIVAGE,1,-0.18579895746324807,1,88.6,2024-08-08 14:35:00,6,47,3,9,0
115,7,18,Balles Championship x4,3,Tennis,equipement,Junior,1,1,0.29874496763533254,0,0,-0.8948062919682142,-0.23921979716097627,EN_STOCK,1,1.8108508335554154,0,78.9,2024-07-16 00:18:00,8,0,2,8,1
116,7,36,Plaquettes Nage,5,Natation,accessoire,L/XL,1,1,0.29874496763533254,1,1,-0.7823006919338054,0.8060065314820494,EN_STOCK,0,-0.8233846050154263,0,83.21,2024-05-17 09:17:00,6,55,0,10,1
117,7,35,Bonnet Silicone,5,Natation,accessoire,S/M,1,1,0.5375526571001309,0,0,-0.9327029151376993,-1.4291697713084208,EN_STOCK,1,-0.4206989328772085,0,82.76,2025-01-04 20:31:00,6,10,0,14,1
